project_id,contract_date,completion_date,year,town,county,distance_from_home_base_miles,business_type,roof_type,project_type,roof_size_sqft,stories,roof_access_complexity,occupied_building_flag,tear_off_required_flag,insulation_replacement_flag,number_of_roof_penetrations,hurricane_related_flag,emergency_job_flag,permit_complexity_score,estimated_duration_days,actual_duration_days,delay_days,weather_delay_days,change_order_amount,contract_value,revenue_per_sqft,material_cost,labor_cost,subcontractor_cost,equipment_cost,permit_cost,disposal_cost,travel_cost,overrun_cost,total_cost,gross_profit,profit_margin_pct,lead_source,customer_type,competitive_bid_flag,number_of_competitors_estimated,salesperson,sales_cycle_days,won_with_discount_flag,discount_pct,month,quarter,busy_season_flag,post_hurricane_demand_flag,material_price_index,labor_tightness_index
SWFL-2025-0011,2025-12-26,2026-01-17,2025,Bonita Springs,Lee,21.6,Industrial,TPO,New Installation,67358,1,Low,True,True,True,24,False,False,1,17,22,5,0,91232.68,870830.59,12.93,290597.82,284834.98,64369.93,42710.39,3815.85,15878.03,9842.28,11087.48,723136.76,238926.51,0.2483,Property Manager,Existing,True,6,Avery,51,False,0.0,12,Q4,False,False,116.6,113.1
SWFL-2020-0012,2020-11-20,2020-12-03,2020,Cape Coral,Lee,14.3,Warehouse,TPO,New Installation,18482,2,Low,False,False,True,14,False,False,4,1,13,12,3,-4417.69,257118.72,13.91,66661.48,61677.69,26670.0,10529.84,3146.71,853.55,2759.59,15020.85,187319.71,65381.32,0.2587,Repeat Customer,Existing,True,0,Cameron,44,False,0.0,11,Q4,True,False,98.3,101.6
SWFL-2023-0013,2023-12-12,2023-12-27,2023,Cape Coral,Lee,16.6,Medical,TPO,Full Replacement,20272,2,Medium,False,True,False,8,False,False,3,10,9,-1,0,-2253.12,350925.89,17.31,113631.11,103533.62,27559.21,17458.79,2623.83,5565.1,3142.14,0.0,273513.8,75158.97,0.2156,Google Search,Existing,False,0,Drew,42,False,0.0,12,Q4,False,True,116.5,111.7
SWFL-2022-0014,2022-11-26,2022-12-07,2022,Bonita Springs,Lee,24.9,Hotel / Hospitality,TPO,Full Replacement,34148,2,Medium,True,True,True,18,True,False,4,7,9,2,2,52225.28,605487.49,17.73,184234.35,186579.53,69868.37,16165.66,3119.88,10775.15,6484.95,5148.53,482376.42,175336.35,0.2666,Google Search,Existing,True,1,Drew,56,False,0.0,11,Q4,True,True,115.3,108.5
SWFL-2025-0015,2025-04-07,2025-04-19,2025,Port Charlotte,Charlotte,44.8,Industrial,Metal,Storm Damage Replacement,27658,2,Low,False,False,False,12,False,False,1,5,7,2,0,-15844.47,666299.25,24.09,291230.36,212959.87,23397.93,14756.27,2413.36,940.92,9488.65,3698.68,558886.04,91568.74,0.1408,Referral,New,False,0,Blake,40,True,0.0292,4,Q2,True,False,114.7,107.6
SWFL-2021-0016,2021-03-28,2021-04-18,2021,Punta Gorda,Charlotte,44.2,Office,Modified Bitumen,Full Replacement,32738,1,Low,True,False,True,8,False,False,2,11,17,6,0,19144.58,435820.15,13.31,144870.61,122304.46,40061.09,12979.06,2714.17,1427.76,9730.85,8606.86,342694.86,112269.87,0.2468,Property Manager,Existing,False,2,Emerson,28,False,0.0,3,Q1,True,False,104.3,100.0
SWFL-2019-0017,2019-03-23,2019-04-10,2019,Punta Gorda,Charlotte,35.7,Restaurant,TPO,Repair,5494,2,Low,True,False,True,14,False,False,4,5,9,4,1,4028.22,94005.29,17.11,25626.12,33425.81,7020.85,4330.04,1817.74,223.65,2765.57,3702.04,78911.82,19121.69,0.1951,Repeat Customer,Existing,True,4,Blake,54,False,0.0,3,Q1,True,False,97.5,96.2
SWFL-2020-0018,2020-12-05,2020-12-12,2020,Cape Coral,Lee,10.6,Industrial,EPDM,New Installation,40469,2,Low,False,False,False,9,False,False,5,11,6,-5,0,4940.99,496302.61,12.26,144436.61,115057.5,31062.33,11341.02,3857.45,1819.2,3184.21,0.0,310758.32,190485.28,0.38,General Contractor,New,False,0,Cameron,19,False,0.0,12,Q4,False,False,105.5,100.5
SWFL-2021-0019,2021-03-25,2021-04-13,2021,Bonita Springs,Lee,17.3,Hotel / Hospitality,Coating / Restoration,New Installation,30780,3,High,True,False,False,8,False,True,7,9,13,4,0,9877.1,291392.79,9.47,68456.35,87063.89,39707.81,11959.74,3668.13,1105.94,4742.48,6342.34,223046.68,78223.21,0.2596,Property Manager,Existing,False,0,Emerson,11,False,0.0,3,Q1,True,False,102.6,110.3
SWFL-2021-0020,2021-09-06,2021-09-29,2021,Sarasota,Sarasota,79.4,Warehouse,TPO,Full Replacement,25320,3,Medium,False,True,False,9,False,False,4,10,15,5,1,5078.91,388921.99,15.36,112263.64,119259.62,40526.56,25347.79,1802.04,6830.09,13576.91,7411.44,327018.09,66982.81,0.17,Referral,Existing,False,0,Emerson,38,True,0.0766,9,Q3,False,False,106.7,107.8
SWFL-2024-0021,2024-10-22,2024-11-13,2024,Lehigh Acres,Lee,25.1,Multifamily,TPO,Storm Damage Replacement,18803,1,Low,True,True,True,12,False,True,2,9,14,5,1,10747.33,330952.38,17.6,102899.07,109796.69,28402.6,11345.66,2197.71,4334.83,4316.84,9023.33,272316.73,69382.98,0.2031,Property Manager,Existing,False,2,Cameron,29,False,0.0,10,Q4,True,False,113.4,114.5
SWFL-2021-0022,2021-09-06,2021-09-19,2021,Cape Coral,Lee,10.3,Retail,TPO,Storm Damage Replacement,39690,2,Low,True,True,False,12,False,False,4,10,12,2,0,32710.35,624350.27,15.73,181012.28,178773.93,64604.21,28448.32,3666.76,11919.28,3211.33,3547.66,475183.77,181876.85,0.2768,Google Search,New,False,1,Cameron,29,False,0.0,9,Q3,False,False,102.9,100.6
SWFL-2023-0023,2023-05-09,2023-05-29,2023,Port Charlotte,Charlotte,44.5,School / Institutional,Built-Up Roofing,Repair,13265,3,Medium,True,False,False,6,True,True,5,8,18,10,2,-597.62,454521.77,34.26,183191.1,220159.01,46790.96,20688.74,3832.08,593.69,5207.04,21247.11,501709.73,-47785.58,-0.1053,Referral,Existing,False,1,Drew,31,False,0.0,5,Q2,True,True,122.6,126.7
SWFL-2020-0024,2020-11-27,2020-12-17,2020,Fort Myers,Lee,3.0,Multifamily,Modified Bitumen,Full Replacement,22478,1,Low,False,True,True,13,True,True,2,14,20,6,1,3622.58,412695.52,18.36,116946.37,111627.83,51098.11,11842.75,1897.98,6291.77,897.04,11962.26,312564.11,103753.99,0.2492,Repeat Customer,Existing,True,3,Cameron,35,False,0.0,11,Q4,True,False,102.6,112.0
SWFL-2021-0025,2021-05-14,2021-05-29,2021,Sarasota,Sarasota,80.1,Hotel / Hospitality,TPO,New Installation,47575,3,Medium,True,False,False,14,False,False,6,14,15,1,0,-26486.22,756749.16,15.91,209699.93,186489.89,43458.44,32025.55,4521.07,1889.58,24345.63,2012.15,504442.24,225820.7,0.3092,Repeat Customer,Existing,False,0,Avery,15,False,0.0,5,Q2,True,False,101.2,101.9
SWFL-2020-0026,2020-08-27,2020-09-14,2020,Sarasota,Sarasota,78.3,Industrial,TPO,Storm Damage Replacement,49497,4,Medium,False,True,False,17,False,False,3,14,17,3,1,24631.5,859703.56,17.37,234370.43,248384.32,53649.32,35030.05,4375.72,13862.39,26447.32,7630.16,623749.71,260585.35,0.2947,Referral,Existing,False,0,Cameron,48,False,0.0,8,Q3,False,False,101.0,105.5
SWFL-2020-0027,2020-09-27,2020-10-01,2020,Cape Coral,Lee,13.8,Multifamily,Coating / Restoration,Coating / Restoration,20083,2,Low,False,False,False,2,False,False,5,4,1,-5,2,5330.2,138861.92,6.91,33263.75,38986.93,9687.19,5255.93,3034.73,992.45,2802.55,922.18,94945.71,49246.41,0.3415,Insurance / Storm,New,True,1,Blake,41,False,0.0,9,Q3,False,False,108.6,104.7
SWFL-2025-0028,2025-08-29,2025-09-22,2025,Naples,Collier,36.9,Hotel / Hospitality,TPO,Storm Damage Replacement,54270,1,Medium,True,True,False,18,True,False,3,14,20,6,2,-242.48,1123234.93,20.7,350133.21,456337.86,49720.27,42436.07,4413.72,17404.69,11787.91,18528.11,950761.84,172230.61,0.1534,Referral,Existing,True,2,Emerson,47,False,0.0,8,Q3,False,False,117.6,120.3
SWFL-2019-0029,2019-11-24,2019-12-14,2019,Bonita Springs,Lee,18.0,HOA / Clubhouse,TPO,New Installation,11461,1,Low,True,False,True,15,False,False,1,8,12,4,1,-3853.35,168433.47,14.7,48516.94,40456.34,7706.19,3426.47,1178.39,493.94,2490.18,4297.47,108565.92,56014.2,0.3403,Insurance / Storm,New,True,2,Emerson,49,True,0.01,11,Q4,True,False,99.5,102.0
SWFL-2022-0030,2022-02-19,2022-03-21,2022,Naples,Collier,45.6,HOA / Clubhouse,TPO,Storm Damage Replacement,81209,2,Low,True,True,True,30,True,False,3,20,28,8,2,122878.66,1354727.16,16.68,430495.3,506006.11,62701.28,65598.46,5386.41,24549.7,24040.41,27575.63,1146353.3,331252.52,0.2242,Property Manager,New,False,1,Avery,26,True,0.0202,2,Q1,False,True,117.2,122.5
SWFL-2022-0031,2022-06-24,2022-07-08,2022,Naples,Collier,37.9,Restaurant,TPO,Coating / Restoration,26076,2,Medium,False,False,True,27,False,False,5,5,13,8,1,6134.1,369762.29,14.18,115476.25,118342.45,14751.75,13238.06,3498.31,1198.66,8480.81,11170.39,286156.68,89739.71,0.2387,Insurance / Storm,New,False,0,Cameron,31,False,0.0,6,Q2,False,True,116.8,112.2
SWFL-2021-0032,2021-10-06,2021-10-17,2021,Cape Coral,Lee,11.7,Retail,TPO,Full Replacement,28728,4,Medium,True,False,False,10,False,False,5,11,8,-3,0,-1944.55,363331.76,12.65,106190.89,110508.27,19534.88,19832.34,3284.5,1135.17,2872.63,0.0,263358.68,98028.53,0.2713,Property Manager,New,False,0,Drew,7,False,0.0,10,Q4,True,False,102.4,108.9
SWFL-2022-0033,2022-11-07,2022-11-20,2022,Fort Myers,Lee,3.0,Office,TPO,Storm Damage Replacement,18049,3,Medium,True,False,False,8,False,False,6,5,12,7,1,2441.61,269268.67,14.92,84441.15,85498.19,27952.54,12082.51,3576.25,880.31,768.97,8508.2,223708.12,48002.16,0.1767,Property Manager,Existing,False,1,Avery,16,False,0.0,11,Q4,True,True,114.9,109.5
SWFL-2021-0034,2021-10-07,2021-10-31,2021,Port Charlotte,Charlotte,41.0,Warehouse,Coating / Restoration,Full Replacement,43288,3,Medium,True,True,False,17,False,False,5,14,15,1,1,8670.87,427791.74,9.88,97180.83,133843.46,37412.4,16546.28,3774.75,10639.64,12641.24,2112.26,314150.86,122311.75,0.2802,Referral,Existing,False,2,Emerson,6,False,0.0,10,Q4,True,False,108.1,103.6
SWFL-2024-0035,2024-09-12,2024-09-20,2024,Fort Myers,Lee,5.3,Restaurant,Coating / Restoration,Storm Damage Replacement,15443,2,Medium,False,True,True,20,False,False,3,7,6,-1,1,7550.63,156506.29,10.13,40318.4,50102.87,9293.24,7826.68,2155.0,4049.61,1156.75,475.21,115377.76,48679.16,0.2967,Repeat Customer,Existing,False,1,Emerson,24,False,0.0,9,Q3,False,False,108.5,105.4
SWFL-2023-0036,2023-10-25,2023-11-01,2023,Cape Coral,Lee,15.5,Retail,Built-Up Roofing,Repair,5598,1,Low,True,False,False,8,False,False,2,4,5,1,1,11863.0,140904.82,25.17,49171.55,59694.47,13378.73,2941.61,1774.37,217.89,1318.2,1366.35,129863.17,22904.65,0.1499,Bid Invitation,Existing,True,7,Avery,32,False,0.0,10,Q4,True,True,117.7,121.4
SWFL-2023-0037,2023-08-24,2023-09-03,2023,Punta Gorda,Charlotte,39.5,Restaurant,Modified Bitumen,New Installation,15226,1,Medium,False,False,False,16,False,False,2,1,1,-1,0,-2239.06,289977.57,19.04,96063.0,88397.81,14552.27,6240.88,2079.17,622.91,5834.87,0.0,213790.91,73947.6,0.257,Property Manager,New,False,1,Cameron,16,False,0.0,8,Q3,False,True,121.0,120.4
SWFL-2023-0038,2023-04-07,2023-05-06,2023,Naples,Collier,36.7,Restaurant,EPDM,Storm Damage Replacement,47973,5,High,True,True,True,23,True,False,8,12,23,11,2,36956.01,1069762.28,22.3,360286.4,411501.2,84597.28,38866.36,6732.97,14845.44,12187.9,30742.91,959760.46,146957.83,0.1328,Repeat Customer,Existing,False,4,Cameron,34,False,0.0,4,Q2,True,True,119.2,117.0
SWFL-2021-0039,2021-01-01,2021-01-18,2021,Estero,Lee,25.1,Retail,Modified Bitumen,Repair,2706,1,Low,False,True,True,8,False,False,4,5,12,7,2,3448.52,77241.6,28.54,22096.73,25124.15,4031.21,1511.96,2002.72,726.04,1580.6,6346.83,63420.24,17269.88,0.214,Referral,New,False,0,Drew,15,False,0.0,1,Q1,False,False,100.5,105.5
SWFL-2025-0040,2025-11-03,2025-11-16,2025,Bonita Springs,Lee,16.0,Retail,Modified Bitumen,Repair,8638,1,Low,True,False,False,7,False,False,3,5,4,-1,0,5980.52,188571.99,21.83,58614.64,63773.5,7540.45,6710.58,2177.75,333.1,1671.19,0.0,140821.21,53731.3,0.2762,Insurance / Storm,New,False,1,Emerson,29,False,0.0,11,Q4,True,False,109.1,109.5
SWFL-2020-0041,2020-11-21,2020-12-13,2020,Fort Myers,Lee,12.8,Retail,TPO,Full Replacement,20196,1,Low,True,True,False,4,False,True,4,9,15,6,0,25907.73,335185.32,16.6,96460.42,99610.61,40783.34,13875.71,2742.73,6523.8,2074.04,10152.0,272222.65,88870.4,0.2461,Property Manager,Existing,False,1,Avery,24,False,0.0,11,Q4,True,False,104.2,107.6
SWFL-2025-0042,2025-04-09,2025-04-21,2025,Marco Island,Collier,61.3,Hotel / Hospitality,TPO,Storm Damage Replacement,31517,1,Medium,False,True,False,20,True,True,3,8,8,0,0,37878.61,488357.85,15.5,169926.89,174813.67,45048.62,24196.69,3228.56,7666.14,16165.37,0.0,441045.94,85190.52,0.1619,Bid Invitation,New,True,1,Avery,22,True,0.0434,4,Q2,True,False,116.5,119.0
SWFL-2024-0043,2024-02-16,2024-03-04,2024,Lehigh Acres,Lee,20.5,Medical,Modified Bitumen,Storm Damage Replacement,32862,2,Low,True,True,False,13,False,False,3,13,13,0,1,45163.29,490786.67,14.93,176553.0,173481.31,43766.27,22721.46,3224.49,10323.02,5087.94,742.63,435900.12,100049.84,0.1867,Repeat Customer,Existing,True,3,Avery,52,True,0.0647,2,Q1,False,True,124.6,120.7
SWFL-2019-0044,2019-09-04,2019-09-21,2019,Port Charlotte,Charlotte,53.7,Industrial,TPO,Full Replacement,37152,1,Low,True,True,False,12,False,False,4,16,17,1,0,76924.6,579952.53,15.61,161799.0,162836.03,54323.9,13488.45,3700.99,8867.36,15927.52,1693.91,422637.16,234239.97,0.3566,Repeat Customer,Existing,False,0,Cameron,33,False,0.0,9,Q3,False,False,103.2,100.3
SWFL-2024-0045,2024-01-14,2024-01-25,2024,Port Charlotte,Charlotte,44.4,Retail,TPO,Repair,2720,3,Medium,True,False,False,4,False,False,6,1,2,1,1,3560.31,52849.51,19.43,18211.22,22723.29,4268.19,2179.19,2940.03,96.57,2912.13,1137.41,54468.03,1941.79,0.0344,Referral,New,False,0,Cameron,24,False,0.0,1,Q1,False,True,122.5,118.2
SWFL-2022-0046,2022-04-15,2022-05-01,2022,Fort Myers,Lee,3.0,Office,Modified Bitumen,Full Replacement,23219,1,Low,False,True,False,8,False,False,3,8,13,5,2,19397.2,410693.26,17.69,133692.38,139833.02,20249.3,8814.53,2766.26,6976.8,847.79,8303.35,321483.43,108607.03,0.2525,General Contractor,New,True,2,Avery,68,False,0.0,4,Q2,True,True,117.1,116.1
SWFL-2019-0047,2019-01-30,2019-02-24,2019,Lehigh Acres,Lee,27.2,Industrial,TPO,New Installation,48734,2,Low,False,True,True,12,False,False,4,15,19,4,0,57273.47,681060.57,13.98,184331.52,166767.18,30443.84,23054.26,4024.02,15170.73,9009.03,7503.64,440304.22,298029.82,0.4037,Bid Invitation,Existing,True,2,Avery,64,False,0.0,1,Q1,False,False,98.4,93.1
SWFL-2024-0048,2024-01-11,2024-02-07,2024,Port Charlotte,Charlotte,34.2,Retail,TPO,Storm Damage Replacement,22268,1,Low,True,True,False,9,True,True,3,12,19,7,2,32529.41,443115.05,19.9,153490.49,161327.45,25971.2,20473.38,3839.32,5025.17,6679.04,15088.87,391894.92,83749.54,0.1761,Repeat Customer,Existing,False,0,Cameron,22,False,0.0,1,Q1,False,True,124.5,119.8
SWFL-2021-0049,2021-03-14,2021-03-27,2021,Bonita Springs,Lee,21.5,Medical,Coating / Restoration,Coating / Restoration,4219,2,Medium,False,False,False,10,False,False,6,2,7,5,1,-1278.33,36523.82,8.66,8059.26,11407.85,3395.76,1628.19,2275.76,165.21,1723.45,3957.93,32613.41,2632.08,0.0747,Referral,Existing,False,0,Avery,32,False,0.0,3,Q1,True,False,97.9,105.4
SWFL-2020-0050,2020-07-22,2020-07-27,2020,Bonita Springs,Lee,22.1,Retail,EPDM,Repair,8426,2,Low,True,False,False,5,False,False,6,4,1,-4,0,291.21,116398.61,13.81,32672.02,47660.69,4935.59,3552.17,2679.51,338.16,2420.57,0.0,94258.71,22431.11,0.1922,Property Manager,Existing,False,2,Blake,22,False,0.0,7,Q3,False,False,106.0,109.2
SWFL-2025-0051,2025-11-21,2025-12-12,2025,Bonita Springs,Lee,26.6,Warehouse,Metal,Full Replacement,61117,1,Low,False,False,False,19,False,False,2,17,18,1,1,9745.86,1218426.65,19.94,559498.04,318461.93,96487.22,49889.0,4755.69,2753.19,9464.05,4167.91,1045477.03,182695.48,0.1488,Insurance / Storm,Existing,True,2,Blake,42,True,0.0881,11,Q4,True,False,116.2,109.3
SWFL-2022-0052,2022-04-09,2022-04-24,2022,Bonita Springs,Lee,32.2,Multifamily,TPO,Full Replacement,46623,2,Low,False,True,False,14,False,False,5,14,13,-1,0,56036.74,825498.3,17.71,266517.43,218887.44,69152.61,41094.75,4586.57,14358.24,9171.41,0.0,623768.45,257766.59,0.2924,Property Manager,Existing,False,0,Emerson,29,False,0.0,4,Q2,True,True,114.5,114.4
SWFL-2022-0053,2022-05-28,2022-06-25,2022,Sarasota,Sarasota,86.4,Restaurant,TPO,Storm Damage Replacement,39653,4,High,True,True,True,23,True,False,6,17,27,10,2,20051.41,861763.95,21.73,290017.03,336277.65,75681.43,53407.08,4489.57,9953.28,22170.47,24090.57,816087.08,65728.28,0.0745,Google Search,New,True,4,Emerson,46,True,0.0909,5,Q2,True,True,116.4,119.0
SWFL-2024-0054,2024-03-18,2024-04-02,2024,Punta Gorda,Charlotte,31.0,Hotel / Hospitality,Coating / Restoration,Coating / Restoration,16650,2,Medium,True,False,False,12,False,False,4,6,8,2,2,1583.36,108670.21,6.53,27981.42,34981.03,8230.67,3970.42,2619.91,783.97,4915.49,2565.09,86048.0,24205.57,0.2195,Insurance / Storm,New,True,3,Avery,26,False,0.0,3,Q1,True,True,116.5,120.9
SWFL-2021-0055,2021-09-07,2021-09-22,2021,Bonita Springs,Lee,20.2,HOA / Clubhouse,Built-Up Roofing,Storm Damage Replacement,41283,3,Medium,True,False,False,14,False,False,4,12,14,2,2,54243.88,772053.46,18.7,249531.25,259265.52,46222.62,34585.33,4030.17,1892.95,6744.03,6014.68,608286.55,218010.79,0.2638,Repeat Customer,Existing,True,3,Avery,41,True,0.0872,9,Q3,False,False,103.4,104.5
SWFL-2022-0056,2022-03-14,2022-04-12,2022,Punta Gorda,Charlotte,36.0,Hotel / Hospitality,EPDM,Full Replacement,44249,3,High,True,True,True,11,True,False,5,16,24,8,1,78680.72,842605.24,19.04,227477.93,300871.86,104241.73,68533.66,4956.58,13249.28,10808.43,18357.6,748497.07,172788.89,0.1876,Property Manager,New,False,0,Avery,42,False,0.0,3,Q1,True,True,116.9,113.8
SWFL-2023-0057,2023-05-10,2023-05-22,2023,Punta Gorda,Charlotte,25.9,Restaurant,Built-Up Roofing,New Installation,14832,2,Medium,False,False,False,13,False,False,3,4,4,0,2,-11386.24,325321.16,21.93,123678.27,99251.77,21283.26,16969.59,2656.94,665.46,3098.41,1220.51,268824.21,45110.71,0.1437,Property Manager,Existing,True,2,Emerson,29,True,0.0508,5,Q2,True,True,120.1,114.8
SWFL-2022-0058,2022-06-22,2022-07-06,2022,Punta Gorda,Charlotte,30.8,Medical,TPO,Full Replacement,19829,1,Low,True,True,True,7,False,False,3,6,6,0,0,8981.83,323105.92,16.29,101451.66,108983.42,20591.83,12474.0,2235.26,4456.91,5336.05,0.0,255529.13,76558.62,0.2305,Repeat Customer,Existing,False,2,Cameron,43,False,0.0,6,Q2,False,True,115.5,116.4
SWFL-2022-0059,2022-07-13,2022-08-05,2022,Fort Myers,Lee,15.2,Retail,TPO,Repair,5792,4,Medium,True,True,False,7,False,False,5,6,20,14,2,2373.77,141759.24,24.48,49341.84,60182.65,11995.72,10521.3,2725.57,1377.04,1473.55,13599.15,151216.82,-7083.81,-0.0491,Google Search,New,True,3,Avery,34,False,0.0,7,Q3,False,True,119.2,113.9
SWFL-2025-0060,2025-09-24,2025-10-14,2025,Cape Coral,Lee,13.2,Retail,TPO,Storm Damage Replacement,21047,1,Low,True,True,False,9,True,True,3,5,16,11,1,39804.53,364899.98,17.34,120266.08,127294.67,51568.19,15396.77,2481.97,6218.92,2791.93,20048.2,346066.73,58637.78,0.1449,Repeat Customer,Existing,False,0,Cameron,32,False,0.0,9,Q3,False,False,114.0,114.4
SWFL-2019-0061,2019-07-24,2019-08-13,2019,Estero,Lee,20.9,Industrial,Metal,Repair,3693,1,Low,True,False,False,6,False,False,3,8,15,7,2,1714.22,119681.34,32.41,51923.79,35959.53,7355.52,5652.13,1707.41,140.56,1429.38,6949.47,111117.79,10277.77,0.0847,General Contractor,New,True,2,Drew,16,True,0.0468,7,Q3,False,False,103.6,100.4
SWFL-2022-0062,2022-10-18,2022-11-20,2022,Naples,Collier,47.8,Medical,TPO,Coating / Restoration,12612,3,High,True,True,True,10,False,False,6,16,24,8,1,18516.97,218996.65,17.36,67261.56,86182.33,15149.45,14227.94,3694.31,3137.86,5152.59,8878.75,203684.79,33828.83,0.1424,Google Search,New,False,0,Cameron,32,False,0.0,10,Q4,True,True,120.0,116.8
SWFL-2022-0063,2022-07-29,2022-08-13,2022,Sarasota,Sarasota,83.0,School / Institutional,TPO,New Installation,26298,1,Low,False,False,False,13,False,False,3,6,10,4,0,33379.93,338836.76,12.88,106193.17,87605.02,14916.07,14735.74,2180.33,1073.71,18728.06,5039.62,250471.72,121744.97,0.3271,Bid Invitation,New,True,5,Avery,57,True,0.0457,7,Q3,False,True,119.0,119.4
SWFL-2024-0064,2024-05-19,2024-06-07,2024,Fort Myers,Lee,18.1,HOA / Clubhouse,Metal,Storm Damage Replacement,43212,3,Medium,True,True,True,9,True,False,4,16,16,0,0,37384.51,1309627.42,30.31,615896.23,414465.6,58434.26,88539.89,6025.38,9569.46,5782.07,0.0,1198712.89,148299.04,0.1101,Google Search,New,True,4,Avery,28,True,0.0354,5,Q2,True,False,119.0,106.7
